CustomerID,CustomerName,Gender,DOB,City,PhoneNumber,Email,PAN,BranchID,KYCStatus
C00001,Xhftrxc Nacgposs,Female,06-07-1994,Hyderabad,9.18808E+11,user1@example.com,WEQYI5851K,B045,Verified
C00002,Nfpvaus Khftcjji,Male,25-12-1982,Delhi,9.16505E+11,user2@example.com,AJDZD0234O,B035,Pending
C00003,Iusnzjo Uqwpsbfh,Male,26-11-1978,Hyderabad,9.19969E+11,user3@example.com,ZZWVP3996C,B029,Verified
C00004,Cwwjlve Lfgyqpes,Female,20-11-1987,Hyderabad,9.17176E+11,user4@example.com,XLHFJ1828G,B044,Verified
C00005,Fmhyrfi Yufaigfy,Female,21-03-1986,Delhi,9.16061E+11,user5@example.com,JPZUP3947W,B026,Verified
C00006,Wirkxlg Htotlpjz,Male,02-01-1970,Kolkata,,user6@example.com,KQDDP6836I,B007,Verified
C00007,Encbcqu Npkpmgoy,Female,21-01-1975,Jaipur,9.16246E+11,user7@example.com,PLANE4012C,B045,Verified
C00008,Vsrngqc Neassztn,Male,07-01-1967,Jaipur,9.19194E+11,user8@example.com,RAQWJ5753Y,B025,Verified
C00009,Dwhqpdt Ryxxpmcj,Male,21-04-1967,Jaipur,9.16309E+11,user9@example.com,MSPWO9624S,B041,Verified
C00010,Zhbwycm Czndryen,Female,31-05-1967,Chennai,9.18377E+11,user10@example.com,WSGSG5474A,B039,Verified
C00011,Tlfosfi Vqlndfip,Male,19-11-1972,Kolkata,,user11@example.com,CNQRW6127T,B039,Verified
C00012,Hpasbba Kbgrfdyo,Male,28-05-1980,Ahmedabad,9.17043E+11,user12@example.com,IREFG1090O,B036,Verified
C00013,Pgmkcrj Nmsrzcki,Male,21-10-1980,Ahmedabad,9.19051E+11,user13@example.com,WTDNU4257T,B001,Verified
C00014,Dgelkhg Clwobzvz,Female,19-09-1976,Kolkata,9.19627E+11,user14@example.com,QVSEY1051B,B003,Verified
